"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
7,"1","2025-06-26T07:10:41.237960Z",1,"[{""start"":18,""end"":24,""text"":""173.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":37,""text"":""credited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":58,""text"":"" *535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":98,""end"":105,""text"":""9054.32"",""labels"":[""BALANCE""]},{""start"":94,""end"":97,""text"":""AED"",""labels"":[""CURRENCY""]}]",39.736,"Dear Customer AED 173.00 was credited to your account *535. Your available account balance is AED 9054.32","2025-06-26T07:10:41.237979Z"
8,"1","2025-06-26T07:11:29.679967Z",2,"[{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":101,""end"":104,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":57,""end"":65,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":105,""end"":112,""text"":""5827.99"",""labels"":[""BALANCE""]},{""start"":18,""end"":26,""text"":""10000.00"",""labels"":[""AMOUNT""]},{""start"":31,""end"":39,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]}]",39.76,"Dear Customer AED 10000.00 was debited from your account ****0535. Your available account balance is AED 5827.99","2025-06-26T07:11:29.679991Z"
9,"1","2025-06-26T07:12:21.174124Z",3,"[{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":99,""end"":103,""text"":""AED "",""labels"":[""CURRENCY""]},{""start"":18,""end"":24,""text"":""374.02"",""labels"":[""AMOUNT""]},{""start"":29,""end"":36,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":55,""end"":63,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":103,""end"":109,""text"":""186.82"",""labels"":[""BALANCE""]}]",49.191,"Dear Customer AED 374.02 was debited from your account ****0535. Your available account balance is AED 186.82","2025-06-26T07:12:21.174148Z"
10,"1","2025-06-26T07:12:51.922902Z",4,"[{""start"":19,""end"":26,""text"":""1496.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":97,""end"":100,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":31,""end"":38,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":57,""end"":61,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":101,""end"":105,""text"":""0.98"",""labels"":[""BALANCE""]}]",28.57,"Dear Customer AED 11496.00 was debited from your account *535. Your available account balance is AED 0.98","2025-06-26T07:12:51.922931Z"
11,"1","2025-06-26T07:13:25.257700Z",5,"[{""start"":19,""end"":24,""text"":""21.00"",""labels"":[""AMOUNT""]},{""start"":15,""end"":18,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":33,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":107,""text"":""61.17"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":59,""end"":85,""text"":""DU-BAWABAT- F09AD12 AUH AE"",""labels"":[""LOCATION""]}]",31.098,"Transaction of AED 21.00 debited from your a/c ****0535 at DU-BAWABAT- F09AD12 AUH AE. Avl Bal is AED 61.17","2025-06-26T07:13:25.257724Z"
12,"1","2025-06-26T07:14:20.369835Z",6,"[{""start"":12,""end"":17,""text"":""19.90"",""labels"":[""AMOUNT""]},{""start"":8,""end"":12,""text"":""USD "",""labels"":[""CURRENCY""]},{""start"":38,""end"":44,""text"":""**0121"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":116,""end"":123,""text"":""8938.28"",""labels"":[""BALANCE""]},{""start"":47,""end"":56,""text"":"" ECPO.INC"",""labels"":[""LOCATION""]}]",53.074,"Trx. of USD 19.90 on your card ending **0121 at ECPO.INC in +15053568405 UNITED STATES is Approved. Avl card bal is 8938.28.Trx Date: 30/04/21 03:41.","2025-06-26T07:14:20.369859Z"
13,"1","2025-06-26T07:15:00.637046Z",7,"[{""start"":18,""end"":26,""text"":""15000.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":31,""end"":38,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":57,""end"":65,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":104,""end"":111,""text"":"" 213.26"",""labels"":[""BALANCE""]},{""start"":101,""end"":104,""text"":""AED"",""labels"":[""CURRENCY""]}]",33.738,"Dear Customer AED 15000.00 was debited from your account ****0535. Your available account balance is AED 213.26","2025-06-26T07:15:00.637070Z"
14,"1","2025-06-26T07:15:28.694655Z",8,"[{""start"":18,""end"":23,""text"":""65.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":92,""end"":97,""text"":"" AED "",""labels"":[""CURRENCY""]},{""start"":28,""end"":37,""text"":""credited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":52,""end"":57,""text"":"" *535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":97,""end"":103,""text"":""626.71"",""labels"":[""BALANCE""]}]",25.345,"Dear Customer AED 65.00 was credited to your account *535. Your available account balance is AED 626.71","2025-06-26T07:15:28.694680Z"
15,"1","2025-06-26T07:15:53.364443Z",9,"[{""start"":18,""end"":22,""text"":""1.05"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":96,""end"":100,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":27,""end"":34,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":61,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":101,""end"":108,""text"":""1726.94"",""labels"":[""BALANCE""]}]",22.1,"Dear Customer AED 1.05 was debited from your account ****0535. Your available account balance is AED 1726.94","2025-06-26T07:15:53.364467Z"
16,"1","2025-06-26T07:16:42.665220Z",10,"[{""start"":18,""end"":25,""text"":""3500.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":96,""end"":99,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":38,""text"":"" debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":55,""end"":60,""text"":"" *535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":100,""end"":108,""text"":""12097.10"",""labels"":[""BALANCE""]}]",47.521,"Dear Customer AED 3500.00 was debited from your account *535. Your available account balance is AED 12097.10","2025-06-26T07:16:42.665241Z"
